transaction_id,CLIENTNUM,transaction_datetime,amount,merchant_category,hour_of_day,is_foreign_transaction,distance_from_home_km,is_fraud
35,773503308,2024-06-20 19:00:00,32.34,Online Retail,19,0,20.4,0
36,715452408,2024-12-10 15:00:00,35.81,Grocery,15,0,6.9,0
37,715452408,2024-03-21 07:00:00,70.07,Jewelry,7,0,23.8,0
38,715452408,2024-12-28 04:00:00,90.41,Grocery,4,0,10.4,0
39,715452408,2024-03-27 05:00:00,24.2,Grocery,5,0,0.2,0
40,715452408,2024-04-23 02:00:00,60.98,Electronics,2,1,62.7,0
41,715452408,2024-11-04 17:00:00,66.0,Travel,17,0,41.3,0
42,715452408,2024-08-27 17:00:00,24.7,ATM Withdrawal,17,0,69.2,0
43,715452408,2024-07-15 08:00:00,119.83,Restaurant,8,0,6.7,0
44,715452408,2024-02-23 17:00:00,53.88,Gas Station,17,0,36.7,0
45,715452408,2024-08-11 15:00:00,156.79,Online Retail,15,0,32.7,0
46,715452408,2024-06-29 22:00:00,127.65,Restaurant,22,0,6.0,0
47,715452408,2024-09-22 19:00:00,55.02,Jewelry,19,0,5.4,0
48,715452408,2024-04-14 11:00:00,74.03,Electronics,11,1,488.9,0
49,715452408,2024-08-30 07:00:00,191.45,Online Retail,7,0,55.9,0
50,715452408,2024-11-04 16:00:00,45.28,Gas Station,16,0,8.5,0
51,715452408,2024-03-17 00:00:00,205.43,Electronics,0,0,2.6,0
52,711264033,2024-04-04 15:00:00,44.76,Jewelry,15,0,40.9,0
53,711264033,2024-10-07 11:00:00,30.31,Electronics,11,0,2.6,0
54,711264033,2024-06-11 14:00:00,203.15,Electronics,14,0,29.0,0
55,711264033,2024-02-11 04:00:00,30.9,Electronics,4,0,14.4,0
56,711264033,2024-04-19 09:00:00,63.1,Online Retail,9,0,10.5,0
57,711264033,2024-01-27 01:00:00,94.48,Online Retail,1,0,13.2,0
58,711264033,2024-07-06 02:00:00,73.45,Restaurant,2,0,9.2,0
59,711264033,2024-09-28 10:00:00,90.79,Gas Station,10,0,1.1,0
60,711264033,2024-04-12 17:00:00,126.99,Gas Station,17,0,1.1,0
61,711264033,2024-05-29 20:00:00,66.07,Restaurant,20,0,41.4,0
62,711264033,2024-06-23 03:00:00,24.0,Utility Bill,3,0,20.8,0
63,711264033,2024-05-22 06:00:00,22.99,Gas Station,6,0,30.3,0
64,711264033,2024-01-06 22:00:00,32.31,Grocery,22,0,21.1,0
65,711264033,2024-09-23 21:00:00,147.08,Grocery,21,0,1.6,0
66,711264033,2024-06-09 18:00:00,68.05,Utility Bill,18,0,5.8,0
67,711264033,2024-11-09 20:00:00,211.69,Online Retail,20,0,13.8,0
68,711264033,2024-05-23 06:00:00,127.34,Utility Bill,6,0,10.2,0
69,711264033,2024-04-23 17:00:00,55.83,Gas Station,17,1,931.9,0
70,718943508,2024-06-21 09:00:00,67.29,ATM Withdrawal,9,0,33.4,0
71,718943508,2024-02-09 12:00:00,54.27,Electronics,12,0,25.1,1
72,718943508,2024-01-03 03:00:00,17.28,Online Retail,3,0,1.3,0
73,718943508,2024-08-06 12:00:00,41.07,Gas Station,12,0,12.7,0
74,718943508,2024-06-25 06:00:00,22.76,Utility Bill,6,0,13.1,0
75,718943508,2024-07-25 20:00:00,43.0,Grocery,20,1,9.8,0
76,718943508,2024-05-17 15:00:00,25.03,Electronics,15,0,74.4,0
77,718943508,2024-12-31 08:00:00,42.16,Gas Station,8,0,5.2,0
78,778247358,2024-12-20 02:00:00,78.08,Jewelry,2,0,0.7,1
79,778247358,2024-10-03 20:00:00,34.25,ATM Withdrawal,20,0,3.1,0
80,778247358,2024-08-09 04:00:00,50.3,Restaurant,4,1,3427.1,0
81,778247358,2024-10-11 12:00:00,81.59,Electronics,12,0,25.9,0
82,778247358,2024-03-21 14:00:00,103.67,Electronics,14,0,1.3,0
83,778247358,2024-04-09 00:00:00,55.41,Electronics,0,0,63.3,0
84,778247358,2024-09-25 21:00:00,48.89,Utility Bill,21,0,12.6,0
85,778247358,2024-11-09 04:00:00,71.12,Grocery,4,1,648.5,1
86,778247358,2024-12-31 16:00:00,182.33,Gas Station,16,0,3.4,0
87,778247358,2024-07-31 01:00:00,88.75,Online Retail,1,0,1.8,0
88,778247358,2024-11-08 21:00:00,29.49,Jewelry,21,0,5.5,0
89,778247358,2024-10-27 22:00:00,41.3,Utility Bill,22,0,14.5,0
90,778247358,2024-03-01 05:00:00,265.72,Travel,5,0,59.0,0
91,778247358,2024-12-02 05:00:00,49.27,Gas Station,5,0,36.2,0
92,778247358,2024-07-01 16:00:00,89.07,Gas Station,16,0,2.4,0
93,778247358,2024-08-28 01:00:00,48.91,Grocery,1,0,6.4,0
94,710431158,2024-09-28 14:00:00,19.88,Gas Station,14,0,2.1,0
95,710431158,2024-07-25 02:00:00,75.53,ATM Withdrawal,2,0,10.9,0
96,710431158,2024-07-15 18:00:00,31.22,Gas Station,18,0,6.3,0
97,710431158,2024-10-15 11:00:00,148.15,Electronics,11,0,6.8,0
98,710431158,2024-01-17 14:00:00,225.3,Utility Bill,14,0,1.3,0
99,710431158,2024-03-04 16:00:00,89.95,Grocery,16,0,64.3,0
100,710431158,2024-05-30 13:00:00,37.2,Jewelry,13,0,6.9,0
101,710431158,2024-04-02 22:00:00,68.62,ATM Withdrawal,22,0,11.4,0
102,710431158,2024-12-04 18:00:00,33.71,Gas Station,18,0,4.7,0
103,710431158,2024-10-26 12:00:00,21.16,Utility Bill,12,0,17.0,0
104,710431158,2024-09-12 14:00:00,61.1,Restaurant,14,0,20.0,0
105,710431158,2024-05-20 04:00:00,16.18,Grocery,4,0,15.6,0
106,710431158,2024-03-30 04:00:00,102.4,Jewelry,4,0,0.1,0
107,710431158,2024-05-03 23:00:00,110.14,Travel,23,0,1.3,0
108,710431158,2024-05-26 03:00:00,52.65,Electronics,3,1,1815.4,1
109,710431158,2024-02-01 05:00:00,53.69,Jewelry,5,0,39.8,0
110,710431158,2024-09-05 12:00:00,70.76,Gas Station,12,0,3.1,0
111,715252383,2024-11-24 14:00:00,26.04,Online Retail,14,0,21.9,0
112,715252383,2024-07-07 12:00:00,71.16,Online Retail,12,0,0.8,0
113,715252383,2024-04-11 00:00:00,126.45,Electronics,0,0,0.0,0
114,715252383,2024-03-02 05:00:00,48.91,ATM Withdrawal,5,0,6.4,0
115,715252383,2024-12-31 08:00:00,86.38,Restaurant,8,0,7.2,0
116,715252383,2024-02-20 07:00:00,48.12,Jewelry,7,0,20.8,0
117,715252383,2024-05-09 13:00:00,49.0,Electronics,13,0,6.7,0
118,715252383,2024-03-19 07:00:00,45.95,Restaurant,7,0,18.8,0
119,715252383,2024-02-27 00:00:00,17.12,Jewelry,0,0,34.5,0
120,715252383,2024-07-06 06:00:00,171.15,Gas Station,6,0,42.2,0
121,715252383,2024-07-28 19:00:00,93.85,Online Retail,19,0,12.8,0
122,715252383,2024-06-19 04:00:00,146.12,Grocery,4,0,2.3,0
123,715252383,2024-01-02 05:00:00,56.12,Electronics,5,0,7.1,0
124,717189183,2024-11-15 14:00:00,67.43,ATM Withdrawal,14,0,2.4,0
125,717189183,2024-10-24 03:00:00,41.68,Restaurant,3,0,4.4,0
126,717189183,2024-01-21 05:00:00,37.81,ATM Withdrawal,5,0,8.3,0
127,717189183,2024-01-11 14:00:00,177.86,ATM Withdrawal,14,0,13.5,0
128,717189183,2024-10-01 23:00:00,44.31,Electronics,23,0,15.8,0
129,717189183,2024-04-19 07:00:00,106.64,Utility Bill,7,0,36.2,0
130,717189183,2024-12-31 13:00:00,30.17,Electronics,13,0,27.3,0
131,717189183,2024-02-23 14:00:00,56.61,Travel,14,0,6.1,0
132,717189183,2024-10-18 02:00:00,18.14,Utility Bill,2,0,11.6,0
133,717189183,2024-04-25 16:00:00,87.85,Travel,16,0,0.5,0
134,717189183,2024-07-24 06:00:00,25.09,ATM Withdrawal,6,0,0.5,0
135,717189183,2024-07-08 16:00:00,27.39,Jewelry,16,0,48.7,0
136,717189183,2024-08-13 07:00:00,27.67,Jewelry,7,0,13.6,0
137,717189183,2024-12-13 16:00:00,46.17,Gas Station,16,0,9.6,0
138,717189183,2024-09-10 14:00:00,37.6,Gas Station,14,0,11.5,0
139,717189183,2024-03-19 07:00:00,33.1,Jewelry,7,0,43.8,0
140,712050933,2024-11-07 13:00:00,43.14,Gas Station,13,0,24.2,0
141,712050933,2024-04-21 22:00:00,32.05,Restaurant,22,0,3.3,0
142,712050933,2024-10-01 14:00:00,69.13,Jewelry,14,0,32.8,0
143,712050933,2024-05-23 15:00:00,79.15,Restaurant,15,0,16.5,0
144,712050933,2024-10-08 06:00:00,48.12,Restaurant,6,0,20.0,0
145,712050933,2024-12-21 01:00:00,13.73,Gas Station,1,0,14.7,0
146,712050933,2024-04-15 02:00:00,107.79,Restaurant,2,0,4.7,0
147,712050933,2024-10-12 19:00:00,13.06,Utility Bill,19,1,1210.4,0
148,712050933,2024-09-08 13:00:00,26.96,ATM Withdrawal,13,0,3.0,0
149,712050933,2024-12-28 06:00:00,136.26,Utility Bill,6,0,15.5,0
150,714426783,2024-08-26 22:00:00,75.72,Restaurant,22,0,25.9,0
151,714426783,2024-10-06 04:00:00,32.07,Online Retail,4,0,26.6,0
152,714426783,2024-05-27 20:00:00,50.48,Jewelry,20,0,4.6,0
153,714426783,2024-09-01 16:00:00,265.11,Utility Bill,16,0,7.2,0
154,714426783,2024-03-15 21:00:00,44.45,Restaurant,21,0,1.3,0
155,714426783,2024-05-19 03:00:00,44.2,Electronics,3,0,5.3,1
156,714426783,2024-02-24 14:00:00,104.4,Travel,14,1,116.0,0
157,721001883,2024-01-02 19:00:00,34.11,Online Retail,19,0,10.3,0
158,721001883,2024-12-15 01:00:00,77.93,Utility Bill,1,0,1.2,0
159,721001883,2024-09-21 02:00:00,28.05,ATM Withdrawal,2,0,0.0,0
160,721001883,2024-12-15 04:00:00,56.17,Gas Station,4,0,37.4,0
161,721001883,2024-08-05 15:00:00,42.41,Travel,15,0,19.8,0
162,721001883,2024-10-04 21:00:00,73.37,Electronics,21,0,59.1,0
163,721001883,2024-04-06 22:00:00,92.43,Utility Bill,22,0,9.6,0
164,721001883,2024-02-21 08:00:00,80.9,Travel,8,0,1.8,0
165,721001883,2024-09-15 06:00:00,161.2,Restaurant,6,0,13.6,0
166,721001883,2024-07-02 02:00:00,14.03,Restaurant,2,0,6.2,0
167,721001883,2024-12-16 21:00:00,91.49,Travel,21,0,14.7,0
168,716352033,2024-04-25 22:00:00,19.61,Restaurant,22,0,69.6,0
169,716352033,2024-05-10 20:00:00,45.77,Restaurant,20,0,13.0,0
170,716352033,2024-07-08 06:00:00,145.41,Utility Bill,6,0,19.8,0
171,716352033,2024-10-20 04:00:00,34.13,ATM Withdrawal,4,0,0.3,0
172,716352033,2024-03-14 23:00:00,33.23,Utility Bill,23,0,47.0,0
173,716352033,2024-11-03 01:00:00,102.81,Jewelry,1,0,70.9,0
174,716352033,2024-09-16 20:00:00,70.7,Jewelry,20,0,1.9,0
175,716352033,2024-05-31 05:00:00,87.11,Utility Bill,5,0,14.9,0
176,716352033,2024-07-07 19:00:00,42.96,Gas Station,19,1,152.8,0
177,716352033,2024-10-04 05:00:00,76.72,Grocery,5,0,20.7,0
178,716352033,2024-08-31 01:00:00,49.8,Electronics,1,0,7.4,0
179,716352033,2024-08-30 04:00:00,59.89,Utility Bill,4,0,5.0,0
180,716352033,2024-11-25 04:00:00,55.78,ATM Withdrawal,4,0,11.4,0
181,716352033,2024-01-13 18:00:00,64.06,Electronics,18,0,6.4,0
182,716352033,2024-10-01 05:00:00,115.84,Grocery,5,0,30.4,0
183,716352033,2024-06-27 20:00:00,30.96,Utility Bill,20,0,14.5,0
184,716352033,2024-07-25 18:00:00,39.98,Utility Bill,18,0,0.1,0
185,716352033,2024-05-22 13:00:00,77.88,Travel,13,0,4.5,0
186,716352033,2024-06-27 08:00:00,49.3,Grocery,8,0,4.5,0
187,713696808,2024-02-17 06:00:00,42.41,Gas Station,6,0,49.4,0
188,713696808,2024-05-04 21:00:00,35.86,Electronics,21,0,17.5,0
189,713696808,2024-06-05 21:00:00,84.19,Grocery,21,0,14.5,0
190,713696808,2024-12-03 02:00:00,96.36,Online Retail,2,0,7.3,0
191,713696808,2024-05-20 10:00:00,106.05,Jewelry,10,0,8.9,1
192,713696808,2024-03-22 02:00:00,40.76,Grocery,2,0,2.7,0
193,713696808,2024-01-30 19:00:00,70.82,Online Retail,19,0,4.8,0
194,713696808,2024-10-09 20:00:00,75.84,ATM Withdrawal,20,0,29.2,0
195,713696808,2024-02-16 05:00:00,17.7,Utility Bill,5,0,3.6,0
196,713696808,2024-12-05 11:00:00,38.16,ATM Withdrawal,11,0,9.6,0
197,711199908,2024-06-16 14:00:00,52.89,Utility Bill,14,0,11.3,0
198,711199908,2024-11-16 23:00:00,56.63,Electronics,23,0,14.4,0
199,711199908,2024-02-17 03:00:00,53.92,Travel,3,0,3.8,0
200,711199908,2024-10-29 20:00:00,27.33,Electronics,20,0,8.5,0
201,711199908,2024-11-30 17:00:00,139.8,ATM Withdrawal,17,0,13.7,0
202,711199908,2024-04-09 00:00:00,34.17,Utility Bill,0,1,1907.2,0
203,711199908,2024-06-13 21:00:00,35.46,ATM Withdrawal,21,0,18.2,0
204,711199908,2024-10-16 00:00:00,44.3,Restaurant,0,0,1.4,0
205,711199908,2024-03-02 14:00:00,62.91,Jewelry,14,0,2.7,0
206,711199908,2024-05-23 05:00:00,23.93,Gas Station,5,0,14.4,0
207,711199908,2024-10-09 14:00:00,91.99,Restaurant,14,0,1.3,0
208,711199908,2024-03-10 21:00:00,60.23,Jewelry,21,0,15.5,0
209,711199908,2024-03-07 22:00:00,23.19,Restaurant,22,0,0.7,0
210,711199908,2024-01-06 18:00:00,31.34,Restaurant,18,0,84.1,0
211,711199908,2024-01-17 14:00:00,31.85,Gas Station,14,0,9.3,0
212,711199908,2024-12-12 19:00:00,48.88,ATM Withdrawal,19,0,19.9,0
213,711199908,2024-05-18 03:00:00,49.26,Restaurant,3,0,7.6,0
214,711203658,2024-06-29 03:00:00,164.96,Restaurant,3,0,4.9,0
215,711203658,2024-09-23 14:00:00,213.45,Gas Station,14,0,22.4,0
216,711203658,2024-03-14 09:00:00,201.45,Travel,9,0,53.3,0
217,711203658,2024-10-09 14:00:00,121.95,Utility Bill,14,0,13.0,0
218,711203658,2024-10-27 16:00:00,70.46,Jewelry,16,0,52.3,0
219,711203658,2024-03-20 23:00:00,171.07,Electronics,23,0,4.1,0
220,711203658,2024-04-10 21:00:00,57.55,Gas Station,21,0,11.0,0
221,711203658,2024-03-23 10:00:00,34.59,Utility Bill,10,0,4.4,0
222,711203658,2024-09-03 14:00:00,68.07,Electronics,14,0,9.7,0
223,711203658,2024-03-14 17:00:00,75.34,Jewelry,17,1,105.0,1
224,711203658,2024-11-03 22:00:00,78.23,Grocery,22,0,3.0,0
225,711203658,2024-03-08 19:00:00,246.39,Grocery,19,1,2684.6,0
226,711203658,2024-07-01 17:00:00,139.85,Utility Bill,17,1,694.2,0
227,711203658,2024-01-31 22:00:00,113.77,Restaurant,22,0,5.5,0
228,711203658,2024-04-12 07:00:00,25.15,Travel,7,1,78.9,0
229,711203658,2024-09-09 01:00:00,78.5,Jewelry,1,0,57.7,0
230,711203658,2024-02-08 14:00:00,100.28,ATM Withdrawal,14,0,0.5,0
231,711203658,2024-01-06 15:00:00,46.13,Online Retail,15,0,16.5,0
232,711203658,2024-07-24 17:00:00,131.43,Restaurant,17,0,5.7,0
233,711203658,2024-08-22 10:00:00,75.21,Utility Bill,10,0,7.8,0
234,711203658,2024-01-28 01:00:00,64.9,Jewelry,1,0,24.0,0
235,711203658,2024-06-16 20:00:00,94.61,Grocery,20,0,6.8,0
236,708538608,2024-09-21 00:00:00,27.03,Gas Station,0,0,7.0,0
237,708538608,2024-03-25 01:00:00,65.67,Gas Station,1,0,7.2,0
238,708538608,2024-08-01 05:00:00,26.7,Restaurant,5,0,25.2,0
239,708538608,2024-02-10 03:00:00,18.83,Restaurant,3,0,21.7,0
240,708538608,2024-09-06 22:00:00,55.51,Electronics,22,0,34.1,0
241,708538608,2024-03-17 03:00:00,24.58,Utility Bill,3,0,6.5,0
242,708538608,2024-07-28 15:00:00,125.52,Online Retail,15,0,16.6,0
243,708538608,2024-10-03 17:00:00,30.47,Gas Station,17,0,56.4,0
244,708538608,2024-10-22 11:00:00,55.26,Travel,11,0,11.2,0
245,708538608,2024-02-26 03:00:00,19.26,Grocery,3,0,1.4,0
246,708538608,2024-09-05 12:00:00,65.25,ATM Withdrawal,12,0,45.4,0
247,708538608,2024-10-21 23:00:00,70.92,Utility Bill,23,0,27.5,0
248,708538608,2024-09-23 04:00:00,100.52,Grocery,4,0,19.7,0
249,708538608,2024-11-13 00:00:00,57.84,Utility Bill,0,0,2.5,0
250,708538608,2024-03-14 00:00:00,31.34,Restaurant,0,0,1.5,0
251,708538608,2024-04-18 13:00:00,19.92,Travel,13,0,0.9,0
252,708538608,2024-08-29 20:00:00,58.83,Travel,20,0,8.8,0
253,708538608,2024-11-26 05:00:00,63.31,Grocery,5,0,4.8,0
254,708538608,2024-10-23 03:00:00,103.18,Grocery,3,0,5.9,0
255,708538608,2024-04-12 04:00:00,105.33,Online Retail,4,0,15.3,0
256,816528333,2024-04-17 02:00:00,67.73,Restaurant,2,0,5.9,0
257,816528333,2024-11-26 19:00:00,210.19,Restaurant,19,0,12.4,0
258,816528333,2024-09-02 22:00:00,99.07,Utility Bill,22,0,1.5,0
259,816528333,2024-12-27 22:00:00,18.97,Grocery,22,0,2.5,0
260,816528333,2024-10-09 11:00:00,57.1,ATM Withdrawal,11,0,16.7,0
261,816528333,2024-05-20 20:00:00,99.44,Restaurant,20,0,22.9,0
262,816528333,2024-01-06 00:00:00,94.24,Online Retail,0,0,6.3,0
263,816528333,2024-02-25 19:00:00,25.6,Utility Bill,19,0,42.8,0
264,816528333,2024-05-02 10:00:00,104.51,Jewelry,10,0,12.5,0
265,816528333,2024-08-20 02:00:00,80.93,Grocery,2,0,11.4,0
266,816528333,2024-07-22 19:00:00,72.61,Travel,19,0,5.8,0
267,816528333,2024-07-21 01:00:00,118.14,Restaurant,1,0,29.7,0
268,816528333,2024-12-07 13:00:00,82.81,Grocery,13,0,26.5,0
269,816528333,2024-02-20 12:00:00,104.49,Restaurant,12,0,31.3,0
270,719835033,2024-04-10 22:00:00,66.03,Restaurant,22,0,0.9,0
271,719835033,2024-08-05 08:00:00,69.89,Restaurant,8,0,2.8,0
272,719835033,2024-04-16 06:00:00,52.22,Gas Station,6,0,1.0,0
273,719835033,2024-05-15 19:00:00,83.09,ATM Withdrawal,19,0,16.0,0
274,719835033,2024-12-25 19:00:00,130.6,Electronics,19,0,15.9,0
275,719835033,2024-10-31 21:00:00,88.46,Jewelry,21,1,228.6,0
276,719835033,2024-02-22 05:00:00,100.81,Jewelry,5,0,21.4,0
277,719835033,2024-07-02 10:00:00,35.21,Electronics,10,0,27.9,0
278,719835033,2024-05-14 01:00:00,62.75,Online Retail,1,0,20.1,0
279,719835033,2024-12-15 09:00:00,53.17,Online Retail,9,0,46.6,0
280,719835033,2024-09-26 00:00:00,118.32,Utility Bill,0,0,1.2,0
281,719835033,2024-10-14 01:00:00,233.25,ATM Withdrawal,1,0,9.0,0
282,719835033,2024-10-06 23:00:00,44.45,Travel,23,0,1.7,0
283,719835033,2024-12-15 12:00:00,73.69,ATM Withdrawal,12,0,1.7,0
284,719835033,2024-08-15 07:00:00,48.66,Electronics,7,0,5.3,0
285,719835033,2024-01-15 10:00:00,34.11,Gas Station,10,0,12.0,0
286,753856008,2024-05-23 14:00:00,77.55,Jewelry,14,0,51.6,0
287,753856008,2024-02-12 17:00:00,23.95,ATM Withdrawal,17,0,4.4,0
288,753856008,2024-08-05 22:00:00,138.35,Utility Bill,22,0,51.9,0
289,753856008,2024-12-21 15:00:00,54.98,ATM Withdrawal,15,0,16.0,0
290,753856008,2024-02-21 07:00:00,30.56,Grocery,7,0,1.5,0
291,753856008,2024-07-11 19:00:00,41.35,Utility Bill,19,0,3.3,0
292,753856008,2024-11-23 02:00:00,35.61,Electronics,2,0,5.7,0
293,753856008,2024-05-08 20:00:00,201.61,Utility Bill,20,1,1103.3,0
294,753856008,2024-03-22 21:00:00,84.96,Jewelry,21,1,2216.6,0
295,753856008,2024-10-05 17:00:00,71.43,Restaurant,17,0,10.6,0
296,753856008,2024-12-29 10:00:00,38.02,Jewelry,10,0,20.4,0
297,753856008,2024-08-10 04:00:00,102.53,Gas Station,4,0,9.3,0
298,753856008,2024-05-22 02:00:00,63.56,Electronics,2,1,83.6,1
299,753856008,2024-09-11 13:00:00,65.72,Restaurant,13,0,3.1,0
300,753856008,2024-11-08 03:00:00,24.26,Online Retail,3,0,21.5,0
301,753856008,2024-10-23 10:00:00,52.27,Utility Bill,10,0,27.7,0
302,735008958,2024-12-08 03:00:00,41.33,Electronics,3,0,15.5,0
303,735008958,2024-12-28 12:00:00,25.37,Electronics,12,0,13.3,0
304,735008958,2024-04-22 23:00:00,25.1,Gas Station,23,0,3.8,0
305,735008958,2024-08-02 18:00:00,26.74,Restaurant,18,0,1.2,0
306,735008958,2024-07-12 20:00:00,33.42,Jewelry,20,0,10.9,0
307,735008958,2024-03-04 19:00:00,18.98,Travel,19,0,24.2,1
308,735008958,2024-08-06 12:00:00,51.39,Jewelry,12,0,15.2,0
309,735008958,2024-09-10 09:00:00,38.56,Jewelry,9,0,0.4,0
310,735008958,2024-11-11 12:00:00,14.07,Jewelry,12,0,39.8,0
311,735008958,2024-06-23 04:00:00,59.72,Gas Station,4,0,8.6,0
312,735008958,2024-08-25 03:00:00,28.59,Jewelry,3,0,35.1,0
313,735008958,2024-08-02 11:00:00,22.39,Online Retail,11,0,20.9,0
314,735008958,2024-05-26 23:00:00,42.57,Electronics,23,0,5.0,0
315,814611633,2024-05-29 15:00:00,52.5,Travel,15,0,8.4,0
316,814611633,2024-01-29 12:00:00,74.98,Utility Bill,12,0,0.7,0
317,814611633,2024-07-25 06:00:00,27.34,Utility Bill,6,0,4.1,0
318,814611633,2024-07-31 23:00:00,31.17,Online Retail,23,0,41.4,0
319,814611633,2024-03-02 04:00:00,76.84,Utility Bill,4,0,3.3,0
320,814611633,2024-07-24 20:00:00,59.98,Utility Bill,20,0,6.5,0
321,814611633,2024-11-01 21:00:00,36.7,Online Retail,21,0,11.1,0
322,814611633,2024-06-17 06:00:00,54.5,Utility Bill,6,0,11.8,0
323,814611633,2024-08-29 01:00:00,76.65,Electronics,1,0,29.7,0
324,814611633,2024-08-16 14:00:00,35.39,ATM Withdrawal,14,0,24.6,0
325,814611633,2024-10-25 06:00:00,41.25,Gas Station,6,0,11.8,0
326,814611633,2024-06-01 14:00:00,86.34,Jewelry,14,0,31.5,0
327,814611633,2024-04-22 16:00:00,155.45,Utility Bill,16,0,1.0,0
328,814611633,2024-03-28 09:00:00,75.54,Grocery,9,0,1.7,0
329,814611633,2024-03-10 10:00:00,55.73,Restaurant,10,0,11.1,0
330,814611633,2024-05-08 07:00:00,35.53,Electronics,7,0,7.6,0
331,814611633,2024-09-09 15:00:00,28.77,Online Retail,15,0,35.5,0
332,711583458,2024-12-24 00:00:00,68.07,Jewelry,0,0,0.5,0
333,711583458,2024-03-05 21:00:00,206.53,Electronics,21,0,1.9,0
334,711583458,2024-04-07 12:00:00,31.58,Grocery,12,1,881.9,0
335,711583458,2024-07-31 02:00:00,75.71,Jewelry,2,0,19.1,0
336,711583458,2024-08-20 02:00:00,37.69,Electronics,2,0,29.3,0
337,711583458,2024-08-23 11:00:00,132.05,Utility Bill,11,0,4.4,0
338,711583458,2024-07-22 23:00:00,55.82,Electronics,23,0,19.0,0
339,711583458,2024-08-04 10:00:00,37.43,Utility Bill,10,0,14.6,0
340,711583458,2024-10-27 00:00:00,86.32,Gas Station,0,0,16.9,0
341,711583458,2024-10-26 07:00:00,47.07,ATM Withdrawal,7,0,1.2,0
342,711583458,2024-05-19 14:00:00,82.06,Utility Bill,14,0,3.6,0
343,711583458,2024-04-24 11:00:00,81.55,Electronics,11,0,24.7,0
344,711583458,2024-10-02 18:00:00,66.73,Restaurant,18,0,16.7,0
345,711583458,2024-10-09 02:00:00,42.5,Jewelry,2,0,24.3,0
346,711583458,2024-08-04 23:00:00,27.12,ATM Withdrawal,23,0,50.8,0
347,711583458,2024-04-25 12:00:00,99.38,Gas Station,12,1,1037.7,0
348,711583458,2024-02-19 18:00:00,80.64,Utility Bill,18,0,1.8,0
349,711583458,2024-02-02 10:00:00,19.33,Grocery,10,0,3.8,0
350,711583458,2024-08-29 03:00:00,50.16,Online Retail,3,0,31.5,0
351,711583458,2024-10-29 15:00:00,125.98,Utility Bill,15,0,13.1,0
352,779701983,2024-07-13 20:00:00,62.17,Electronics,20,0,26.7,0
353,779701983,2024-12-24 16:00:00,68.05,Utility Bill,16,0,46.8,0
